id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_sampah,satuan,tahun
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,463.24,TON/HARI,2023
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,412.0,TON/HARI,2023
167,32,JAWA BARAT,3205,KABUPATEN GARUT,244.7,TON/HARI,2023
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,140.2,TON/HARI,2023
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,147.2,TON/HARI,2023
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,268.0,TON/HARI,2023
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,337.5,TON/HARI,2023
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,210.0,TON/HARI,2023
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,235.0,TON/HARI,2023
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,300.0,TON/HARI,2023
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,400.0,TON/HARI,2023
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,175.0,TON/HARI,2023
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,331.0,TON/HARI,2023
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,722.0,TON/HARI,2023
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,160.0,TON/HARI,2023
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,53.76,TON/HARI,2023
181,32,JAWA BARAT,3271,KOTA BOGOR,550.0,TON/HARI,2023
182,32,JAWA BARAT,3272,KOTA SUKABUMI,140.02,TON/HARI,2023
183,32,JAWA BARAT,3273,KOTA BANDUNG,1364.0,TON/HARI,2023
184,32,JAWA BARAT,3274,KOTA CIREBON,176.0,TON/HARI,2023
185,32,JAWA BARAT,3275,KOTA BEKASI,1260.0,TON/HARI,2023
186,32,JAWA BARAT,3276,KOTA DEPOK,999.0,TON/HARI,2023
187,32,JAWA BARAT,3277,KOTA CIMAHI,168.12,TON/HARI,2023
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,205.0,TON/HARI,2023
189,32,JAWA BARAT,3279,KOTA BANJAR,69.37,TON/HARI,2023
